Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Nacional,,,"('Manuel', 'Alcalde', 'Velasco')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Alcalde_Velasco
Nacional,,,"('Francisco', 'Javier', 'Ovalle', 'Bezanilla')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Javier_Ovalle_Bezanilla
Nacional,,,"('José', 'Santos', 'Lira', 'Calvo')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Santos_Lira_Calvo
Nacional,,,"('Santos', 'Pérez', 'Mascayano')",,, ,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Santos_Pérez_Mascayano
Nacional,,,"('Roberto', 'Simpson', 'Simpson')",,, ,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Roberto_Simpson_Simpson
Nacional,,,"('José', 'Manuel', 'Guzmán', 'Echeverría')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Manuel_Guzmán_Echeverría
Nacional,,,"('Miguel', 'María', 'Guemes', 'Fernández')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Miguel_María_Guemes_Fernández
Nacional,,,"('Francisco', 'de Borja', 'García-Huidobro', 'Aldunate')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_de_Borja_García_Huidobro_Aldunate
Nacional,,,"('Francisco', 'de Borja', 'Solar', 'Gorostiaga')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_de_Borja_Solar_Gorostiaga
Nacional,,,"('Fernando', 'Errázuriz', 'Sotomayor')",,, ,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fernando_Errázuriz_Sotomayor
Nacional,,,"('Bernardo', 'del Solar', 'Marín')",,, ,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Bernardo_Del_Solar_Marín
Nacional,,,"('José', 'Francisco', 'de la Cerda', 'de Santiago-Concha')",,, ,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Francisco_De_la_Cerda_Santiago_Concha
Nacional,,,"('Apolinario', 'Soto', 'Cuadros')",,, ,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Apolinario_Soto_Cuadros
Nacional,,,"('Mariano', 'Elías', 'Sánchez', 'Bravo de Naveda')",,, ,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mariano_Elías_Sánchez_Bravo_de_Naveda
Nacional,,,"('Manuel', 'Carvallo', 'Gómez')",,, ,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Carvallo_Gómez
Nacional,,,"('Enrique', 'Campino', 'Salamanca')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Campino_Salamanca
Nacional,,,"('Manuel', 'Bulnes', 'Prieto')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Bulnes_Prieto
Nacional,,,"('Bernardino', 'Bravo', 'Aldunate')",,, ,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Bernardino_Bravo_Aldunate
Nacional,,,"('Marcos', 'Maturana', 'del Campo')",,, ,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcos_Maturana_del_Campo
Nacional,Partido Conservador,PCon,"('Manuel', 'Antonio', 'Tocornal', 'Grez')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Antonio_Tocornal_Grez
Nacional,Partido Conservador,PCon,"('Eugenio', 'Domingo', 'Torres', 'Velasco')",,, ,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eugenio_Domingo_Torres_de_Velasco
Nacional,Partido Conservador,PCon,"('Francisco', 'Ignacio', 'Ossa', 'Mercado')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Ignacio_Ossa_Mercado
Nacional,Partido Conservador,PCon,"('Patricio', 'Larraín', 'Gandarillas')",,, ,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Patricio_Larraín_Gandarillas
Nacional,Partido Conservador,PCon,"('José', 'Rafael', 'Larraín', 'Moxó')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Rafael_Larraín_Moxó
Nacional,Partido Conservador,PCon,"('Manuel', 'Camilo', 'Vial', 'Formas')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Camilo_Vial_Formas
Nacional,Partido Conservador,PCon,"('Juan', 'de Dios', 'Correa de Saa', 'Martínez')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_de_Dios_Correa_de_Saa_Martínez
Nacional,Partido Conservador,PCon,"('Miguel', 'Barros', 'Morán')",,, ,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Miguel_Barros_Morán
Nacional,Partido Nacional o Monttvarista,PN,"('Diego', 'José', 'Benavente', 'Bustamante')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Diego_José_Benavente_Bustamante
Nacional,Partido Nacional o Monttvarista,PN,"('Domingo', 'Matte', 'Messía')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Domingo_Matte_Messía
Nacional,Partido Liberal,PL,"('Francisco', 'Marín', 'Recabarren')",,, ,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Marín_Recabarren
Nacional,Partido Liberal,PL,"('Federico', 'Errázuriz', 'Zañartu')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Federico_Errázuriz_Zañartu
Nacional,Partido Liberal,PL,"('Melchor', 'de Santiago-Concha', 'Cerda')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Melchor_De_Santiago_Concha_y_Cerda
Nacional,Partido Liberal,PL,"('Pedro', 'Félix', 'Vicuña', 'Aguirre')",,, ,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Félix_Vicuña_Aguirre
